2024-10-02 20:21:19,799 - INFO - Connected to the database successfully.
2024-10-02 20:22:25,071 - INFO - Image inserted successfully: epoch=02-10-2024_17:22:22.jpg, image_path=images/2024/10/2
2024-10-02 20:22:59,194 - INFO - Data inserted successfully: epoch=1727900478, distance_cm=5514
2024-10-02 20:23:00,241 - INFO - Data inserted successfully: epoch=1727900498, distance_cm=4483
2024-10-02 20:23:01,272 - INFO - Data inserted successfully: epoch=1727900518, distance_cm=4506
2024-10-02 20:23:02,285 - INFO - Data inserted successfully: epoch=1727900538, distance_cm=4495
2024-10-02 20:23:03,324 - INFO - Data inserted successfully: epoch=1727900559, distance_cm=5494
2024-10-02 20:24:59,386 - INFO - Data inserted successfully: epoch=1727900599, distance_cm=4485
2024-10-02 20:25:00,400 - INFO - Data inserted successfully: epoch=1727900619, distance_cm=4477
2024-10-02 20:25:01,414 - INFO - Data inserted successfully: epoch=1727900639, distance_cm=3498
2024-10-02 20:25:02,469 - INFO - Data inserted successfully: epoch=1727900659, distance_cm=5491
2024-10-02 20:25:03,500 - INFO - Data inserted successfully: epoch=1727900679, distance_cm=4478
2024-10-03 15:11:34,701 - ERROR - Failed to connect to the database (attempt 1/5): connection to server at "172.18.0.2", port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

2024-10-03 15:11:40,096 - INFO - Connected to the database successfully.
2024-10-03 22:23:15,805 - INFO - Data inserted successfully: epoch=1727900465, distance_cm=500
2024-10-03 22:23:16,835 - INFO - Data inserted successfully: epoch=1727900485, distance_cm=500
2024-10-03 22:23:17,898 - INFO - Data inserted successfully: epoch=1727900505, distance_cm=500
2024-10-03 22:23:18,929 - INFO - Data inserted successfully: epoch=1727900526, distance_cm=500
2024-10-03 22:23:19,960 - INFO - Data inserted successfully: epoch=1727900546, distance_cm=500
2024-10-03 22:24:42,130 - INFO - Image inserted successfully: epoch=02-10-2024_17:24:10.jpg, image_path=images/2024/10/2
2024-10-03 22:25:16,171 - INFO - Data inserted successfully: epoch=1727900586, distance_cm=500
2024-10-03 22:25:17,201 - INFO - Data inserted successfully: epoch=1727900606, distance_cm=6078
2024-10-03 22:25:18,215 - INFO - Data inserted successfully: epoch=1727900626, distance_cm=6086
2024-10-03 22:25:19,246 - INFO - Data inserted successfully: epoch=1727900647, distance_cm=9999
2024-10-03 22:25:20,276 - INFO - Data inserted successfully: epoch=1727900667, distance_cm=9999
2024-10-03 22:28:05,348 - INFO - Data inserted successfully: epoch=1727900720, distance_cm=5457
2024-10-03 22:28:06,379 - INFO - Data inserted successfully: epoch=1727900707, distance_cm=500
2024-10-03 22:28:07,409 - INFO - Data inserted successfully: epoch=1727900727, distance_cm=500
2024-10-03 22:28:08,433 - INFO - Data inserted successfully: epoch=1727900747, distance_cm=500
2024-10-03 22:28:09,479 - INFO - Data inserted successfully: epoch=1727900767, distance_cm=500
2024-10-03 22:28:10,510 - INFO - Data inserted successfully: epoch=1727900788, distance_cm=500
2024-10-03 22:29:35,582 - INFO - Data inserted successfully: epoch=1727900831, distance_cm=4610
2024-10-03 22:29:36,612 - INFO - Data inserted successfully: epoch=1727900852, distance_cm=4614
2024-10-03 22:29:37,650 - INFO - Data inserted successfully: epoch=1727900872, distance_cm=676
2024-10-03 22:29:38,682 - INFO - Data inserted successfully: epoch=1727900892, distance_cm=4614
2024-10-03 22:31:03,786 - INFO - Image inserted successfully: epoch=02-10-2024_17:30:16.jpg, image_path=images/2024/10/2
2024-10-03 22:31:36,829 - INFO - Data inserted successfully: epoch=1727900953, distance_cm=675
2024-10-03 22:31:37,859 - INFO - Data inserted successfully: epoch=1727900974, distance_cm=683
2024-10-03 22:31:38,890 - INFO - Data inserted successfully: epoch=1727900994, distance_cm=690
2024-10-03 22:31:39,937 - INFO - Data inserted successfully: epoch=1727901014, distance_cm=685
2024-10-03 22:31:40,968 - INFO - Data inserted successfully: epoch=1727901034, distance_cm=686
2024-10-03 22:33:42,033 - INFO - Data inserted successfully: epoch=1727901075, distance_cm=678
2024-10-03 22:33:44,053 - INFO - Data inserted successfully: epoch=1727901100, distance_cm=682
2024-10-03 22:33:45,067 - INFO - Data inserted successfully: epoch=1727901120, distance_cm=682
2024-10-03 22:33:46,098 - INFO - Data inserted successfully: epoch=1727901140, distance_cm=683
2024-10-03 22:33:47,128 - INFO - Data inserted successfully: epoch=1727901160, distance_cm=684
2024-10-03 22:34:26,198 - INFO - Image inserted successfully: epoch=10-03-2024_19:33:33.jpg, image_path=images/2024/3/10
2024-10-03 22:34:58,259 - INFO - Data inserted successfully: epoch=1710109996, distance_cm=682
2024-10-03 22:34:59,290 - INFO - Data inserted successfully: epoch=1710110016, distance_cm=684
2024-10-03 22:35:00,320 - INFO - Data inserted successfully: epoch=1710110036, distance_cm=679
2024-10-03 22:37:08,385 - INFO - Data inserted successfully: epoch=1727994812, distance_cm=682
2024-10-03 22:37:09,416 - INFO - Data inserted successfully: epoch=1727994854, distance_cm=692
2024-10-03 22:37:10,446 - INFO - Data inserted successfully: epoch=1727994874, distance_cm=690
2024-10-03 22:37:11,452 - INFO - Data inserted successfully: epoch=1727994894, distance_cm=672
2024-10-03 22:37:47,529 - INFO - Image inserted successfully: epoch=03-10-2024_19:35:47.jpg, image_path=images/2024/10/3
